台灣頻道,#genre#
民視,rtmp://59.124.75.138/sat/tv051
民視,rtmp://161.202.204.248/sat/tv051
民視,http://seb.sason.top/ptv/ftv.php?id=ms
台視,rtmp://59.124.75.138/sat/tv071
台視,rtmp://161.202.204.248/sat/tv071
中視,rtmp://59.124.75.138/sat/tv091
中視,rtmp://161.202.204.248/sat/tv091
華視,rtmp://59.124.75.138/sat/tv111
華視,rtmp://161.202.204.248/sat/tv111
TVBS·歡樂台,rtmp://59.124.75.138/sat/tv421
TVBS 歡樂,rtmp://59.124.75.138:1935/sat/tv421
TVBS·新聞台,rtmp://59.124.75.138/sat/tv551
TVBS新聞,rtmp://59.124.75.138:1935/sat/tv551
東森財經新聞,rtmp://59.124.75.138:1935/sat/tv571
緯來日本,rtmp://59.124.75.138/sat/tv771
緯來育樂,rtmp://59.124.75.138/sat/tv701
人間衛視,http://ktv027.cdnak.ds.kylintv.net/nlds/kylin/bltv/as/live/bltv_4.m3u8
大愛,http://ktv033.cdnak.ds.kylintv.net/nlds/kylin/daai/as/live/daai_4.m3u8
華視HD,http://ktv037.cdnak.ds.kylintv.net/nlds/kylin/ctshd/as/live/ctshd_4.m3u8
公視HD,http://210.59.248.53/hls-live/livepkgr/_definst_/liveevent/live-ch1-3.m3u8
公視HD,http://210.59.248.53/hls-live/livepkgr/_definst_/liveevent/live-ch1-1.m3u8
客家電視,http://61.216.177.73/sta/ch1865024.m3u8
東森美國幼幼台,http://ktv051.cdnak.ds.kylintv.net/nlds/kylin/etyoyo/as/live/etyoyo_4.m3u8
MoMo綜合台,rtmp://59.124.75.138/sat/tv761
MoMo綜合,rtmp://59.124.75.138:1935/sat/tv761
東森超視,rtmp://59.124.75.138/sat/tv521
東森超視,rtmp://59.124.75.138:1935/sat/tv521
博斯魅力,rtmp://59.124.75.138/sat/md011
民視台灣台,http://seb.sason.top/ptv/ftv.php?id=tw
民視旅遊台,http://seb.sason.top/ptv/ftv.php?id=ly
民視第一台,http://seb.sason.top/ptv/ftv.php?id=dy
民視新聞台,http://seb.sason.top/sc/msxw_fhd.m3u8
民視綜藝台,http://seb.sason.top/ptv/ftv.php?id=zy
民視影戲台,http://seb.sason.top/ptv/ftv.php?id=yj
TVBS·歡樂台,rtmp://161.202.204.248/sat/tv421
TVBS歡樂,rtmp://161.202.204.248:1935/sat/tv421
TVBS·新聞台,rtmp://161.202.204.248/sat/tv551
TVBS新聞,rtmp://161.202.204.248:1935/sat/tv551
東森財經新聞,rtmp://161.202.204.248:1935/sat/tv571
緯來日本,rtmp://161.202.204.248/sat/tv771
緯來育樂,rtmp://161.202.204.248/sat/tv701
MoMo綜合台,rtmp://161.202.204.248/sat/tv761
MoMo綜合,rtmp://161.202.204.248:1935/sat/tv761
東森超視,rtmp://161.202.204.248/sat/tv521
東森超視,rtmp://161.202.204.248:1935/sat/tv521
博斯魅力,rtmp://161.202.204.248/sat/md011
