台灣體育台,#genre#
來緯體育,rtmp://59.124.75.138/sat/tv721
十一體育,rtmp://59.124.75.138:1935/sat/tv731
十一體育,rtmp://59.124.75.138:1935/sat/tv741
愛爾達體育1,rtmp://59.124.75.157/sat/md021
愛爾達體育2,rtmp://59.124.75.157/sat/md031
十一體育,rtmp://59.124.75.138/sat/md041
博斯運動2,rtmp://59.124.75.138/sat/md051
來緯體育,rtmp://161.202.204.248/sat/tv721
十一體育,rtmp://161.202.204.248:1935/sat/tv731
十一體育,rtmp://161.202.204.248:1935/sat/tv741
愛爾達體育1,rtmp://161.202.204.248/sat/md021
愛爾達體育2,rtmp://161.202.204.248/sat/md031
十一體育,rtmp://161.202.204.248/sat/md041
博斯運動2,rtmp://161.202.204.248/sat/md051
城市 SPORTS 1,rtmp://161.202.204.248:1935/sat/hk011
日本MLB,rtmp://161.202.204.248:1935/sat/jp071
